Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary_USD,PTS,TRB,AST,STL,BLK,TOV,Cost_Per_WS,Performance_Trajectory,PNS,Salary_Gap
NORMAN POWELL,31,LAC,SG,60,60,1958,17.5,0.615,0.453,0.28,1.2,9.6,5.5,10.2,1.8,0.5,9.2,26.1,2.9,2.3,5.3,0.129,1.7,-0.2,1.5,1.8,19241379,23.6,3.3,2.4,1.2,0.2,2.2,3630448.9,Veteran - Above Avg,9.67,1544705.659
YVES MISSI,20,NOP,C,73,67,1956,15.4,0.572,0.002,0.415,13.7,19.7,16.6,7.2,0.9,4.8,12.4,14.3,2.5,1.1,3.6,0.089,-1.6,-1.4,-3,-0.5,3193200,9.4,8.5,1.5,0.6,1.4,1.2,887000,Rising - Above Avg,5.365,-8827181.892
KEON ELLIS,25,SAC,SG,80,28,1948,13.5,0.664,0.692,0.185,3.4,8.8,6.1,8,3,3.2,12.4,12.7,2.7,2.2,5,0.122,-0.1,2,1.9,1.9,2120693,6.7,2.3,1.1,1.3,0.8,0.8,424138.6,Rising - Above Avg,3.22,-14574281.85
BILAL COULIBALY,20,WAS,SF,59,59,1948,10.8,0.515,0.359,0.296,4.8,10.9,7.8,14.9,1.9,1.9,15.1,17.9,-0.6,0.9,0.3,0.008,-3,-0.7,-3.7,-0.8,6945240,12.8,5.5,3.6,1.4,0.8,2,23150800,Rising - Below Avg,6.225,5943541.509
KYLE KUZMA,29,TOT,PF,65,62,1936,10.6,0.514,0.369,0.238,3,17.1,10.2,12.1,0.9,0.9,13.5,24,-2.3,1.3,-0.9,-0.024,-2.9,-2,-4.9,-1.4,24456061,14.5,5.4,2.1,0.5,0.2,2.2,N/A,Peak - Below Avg,4.925,N/A
JULIAN CHAMPAGNIE,23,SAS,SF,82,29,1932,12.2,0.577,0.722,0.141,3.7,13.9,8.8,7.9,1.5,1.6,9.5,17.2,1.3,1.2,2.5,0.062,-0.3,-0.9,-1.3,0.4,3000000,12.1,4.7,1.3,0.8,0.6,1.1,1200000,Rising - Below Avg,5.245,-5347487.425
KEON JOHNSON,22,BRK,SG,79,56,1925,10.4,0.499,0.515,0.178,3.5,14.5,8.8,14.6,2.1,1.5,12.1,21.7,-1.3,1.9,0.5,0.014,-3.1,-0.1,-3.3,-0.6,2162606,7.6,3.3,1.2,0.7,0.3,1.2,4325212,Rising - Below Avg,3.55,493108.515
NAJI MARSHALL,27,DAL,SF,69,31,1919,15.1,0.584,0.306,0.225,4.4,14,9.3,15.8,1.8,0.5,12.5,20,2,1.5,3.5,0.087,-0.3,-0.5,-0.8,0.6,8571429,10.9,3.3,2.2,0.8,0.1,1.3,2448979.7,Peak - Below Avg,4.665,-3115053.395
JRUE HOLIDAY,34,BOS,PG,62,62,1896,13.5,0.565,0.534,0.134,4.4,10.8,7.6,17.3,1.7,1.3,11.3,15.8,2.8,2.4,5.1,0.13,-0.3,1,0.7,1.3,30000000,12.3,4.1,3.8,1,0.4,1.4,5882352.9,Veteran - Above Avg,6.245,12971125.65
GUERSCHON YABUSELE,29,PHI,C,70,43,1895,14.7,0.616,0.487,0.245,7.7,16.3,11.8,11.6,1.5,1.2,12.2,16.3,2.9,1,3.9,0.099,0.1,-1.1,-1,0.5,2087519,9.8,5.1,1.8,0.7,0.4,1.3,535261.3,Peak - Below Avg,3.97,-10934561.38
GARY TRENT JR.,26,MIL,SG,74,9,1893,11.7,0.591,0.659,0.14,1.2,8.2,4.8,6.4,1.8,0.2,5.7,17.1,1.6,1.7,3.3,0.084,-1.2,-0.4,-1.6,0.2,2087519,9.6,2.2,0.9,1,0,0.7,632581.5,Peak - Below Avg,4.095,-8931164.401
ANTHONY BLACK,21,ORL,PG,78,10,1887,11.6,0.521,0.315,0.318,3,11.4,7,19.4,2.3,2.4,16.4,19.6,-0.6,3,2.4,0.061,-3.1,1.2,-1.9,0,7607760,8.5,2.7,3.5,0.9,0.7,2.2,3169900,Rising - Below Avg,4.65,-405827.9281
JOSH GREEN,24,CHO,SG,68,67,1887,7.8,0.559,0.589,0.171,3.1,6.7,4.9,8.2,1.9,0.8,13.4,11.8,0.4,1,1.5,0.037,-4.5,0.2,-4.3,-1.1,12654321,7.5,2.7,1.5,0.9,0.4,1,8436214,Rising - Below Avg,3.6,7645828.545
NIC CLAXTON,25,BRK,C,70,62,1882,16.5,0.569,0.037,0.271,9,22.7,15.5,13.7,1.6,5.3,12,16.8,1.8,2.5,4.3,0.11,-1.1,1.5,0.4,1.1,27556817,9.9,7.6,2,0.9,1.1,1.3,6408562.1,Rising - Above Avg,5.105,13199138.63
ANDREW NEMBHARD,25,IND,SG,65,65,1881,11.7,0.545,0.325,0.252,2,10.7,6.4,22.5,2,0.5,15.8,16.3,1.1,1.7,2.8,0.071,-2.6,0.3,-2.3,-0.1,2019699,10.7,3.2,4.9,0.8,0.2,1.8,721321.1,Rising - Below Avg,5.94,-7329486.916
CASON WALLACE,21,OKC,SG,68,43,1876,12.3,0.562,0.425,0.076,4.1,8.8,6.5,11.5,3.1,1.9,10.5,12.8,1.8,3.4,5.2,0.133,-1.5,2.6,1,1.5,5555880,6.5,3.4,2.4,1.8,0.7,0.7,1068438.5,Rising - Above Avg,3.815,-11806893.84
DERRICK JONES JR.,27,LAC,SF,77,55,1873,13.5,0.609,0.372,0.2,5.7,10.1,8,4.6,2.1,1.7,9.3,16.5,2.1,2.6,4.7,0.12,-1,0.7,-0.3,0.8,9523810,9.8,3.4,0.9,1.3,0.3,1,2026342.6,Peak - Above Avg,4.195,-6169466.359
RUI HACHIMURA,26,LAL,PF,59,57,1869,13.6,0.619,0.429,0.196,4.9,12.6,8.9,6.4,1.2,1.3,7.3,15.8,2.8,1.5,4.3,0.11,-0.1,-0.6,-0.7,0.6,17000000,12.1,5.4,1.6,0.9,0.7,1,3953488.4,Peak - Above Avg,4.655,2642321.629
RJ BARRETT,24,TOR,SF,58,58,1869,16.5,0.547,0.312,0.317,3.4,17.9,10.5,27.3,1.2,0.9,12.9,28.7,0.6,1.7,2.4,0.061,1.2,-0.7,0.6,1.2,25794643,23.4,6.8,6.2,0.7,0.4,3.4,10747767.9,Rising - Below Avg,10.105,17781055.07
BUDDY HIELD,32,GSW,SG,82,22,1863,12.3,0.56,0.698,0.081,2.9,12.7,7.6,10.7,1.8,1.2,10.1,20.5,0.6,2.2,2.8,0.073,-0.7,-0.3,-1,0.5,8780488,12.3,3.3,1.2,0.8,0.3,1.2,3135888.6,Veteran - Below Avg,5.215,-568697.9162
TREY MURPHY III,24,NOP,SF,53,51,1854,17.3,0.598,0.522,0.274,2.7,13.2,7.8,15.9,1.5,2,9.9,23.7,3,0.5,3.5,0.091,2.1,-1.4,0.8,1.3,5159854,20.6,4.5,2.7,1.1,0.7,1.7,1474244,Rising - Above Avg,8.08,-6526628.395
ZACCHARIE RISACHER,19,ATL,SF,75,73,1843,12.2,0.558,0.442,0.191,5,11.1,8,7.1,1.3,1.8,9.8,20.9,0.6,1.1,1.8,0.046,-1.7,-1.8,-3.5,-0.7,12569040,10.7,3.4,1.2,0.8,0.6,1.2,6982800,Rising - Below Avg,4.48,6558849.054
ANDREW WIGGINS,29,TOT,SF,60,60,1842,16.4,0.566,0.415,0.306,5.1,10.8,7.9,13.5,1.6,2.6,9.4,24.5,1.9,2.1,4,0.104,1.2,-0.3,0.9,1.4,26276786,16.4,4.4,2.4,0.8,0.9,1.2,6569196.5,Peak - Below Avg,6.71,12920806.12
ISAIAH COLLIER,20,UTA,PG,71,46,1839,9.7,0.494,0.305,0.277,1.9,11.8,6.9,34.3,1.7,0.8,25,18.9,-1.3,0.5,-0.8,-0.021,-3.8,-1.5,-5.3,-1.6,2512680,3.1,2.2,3.4,0.8,0.2,2.3,N/A,Rising - Below Avg,2.655,N/A
KELDON JOHNSON,25,SAS,SF,77,0,1838,15.6,0.572,0.356,0.252,6.5,15.1,10.8,10.2,1.3,1.1,8.3,21.6,2.2,1,3.2,0.083,0,-1.6,-1.6,0.2,19000000,12.3,5,1.5,0.7,0.2,0.8,5937500,Rising - Above Avg,5.365,8315216.096
ROYCE O'NEALE,31,PHO,SF,75,22,1837,12.6,0.585,0.774,0.046,3.3,17.5,10.6,12.3,1.8,1.7,10.1,15.5,1.6,1.2,2.8,0.073,0.2,-0.1,0.1,1,9375000,10.5,5.6,2.4,1,0.6,1,3348214.3,Veteran - Below Avg,5.24,25814.08383
P.J. WASHINGTON,26,DAL,PF,57,56,1835,14,0.556,0.359,0.298,5,20.9,13.1,10.1,1.7,2.8,13.6,20.4,0.3,2.1,2.4,0.062,-1.1,0.2,-0.9,0.5,15500000,12.6,7.4,2.1,1.1,1.1,1.7,6458333.3,Peak - Below Avg,5.605,7486412.072
CJ MCCOLLUM,33,NOP,PG,56,56,1832,15.8,0.55,0.459,0.173,2.4,10.3,6.2,20.6,1.2,1.3,9,27.2,1.3,0.2,1.5,0.038,1.2,-2.6,-1.4,0.3,33333333,22.7,3.8,4,1,0.5,1.7,22222222,Veteran - Below Avg,9.925,28324840.54
HAYWOOD HIGHSMITH,28,MIA,SF,74,42,1818,9.9,0.583,0.596,0.11,4.4,10.8,7.7,8.4,1.9,2,11.6,11.3,1.3,2.1,3.3,0.088,-2.7,0.9,-1.9,0.1,5200000,6.9,3.3,1.1,1,0.6,0.9,1575757.6,Peak - Below Avg,3.325,-5818683.401
DORIAN FINNEY-SMITH,31,TOT,PF,63,40,1818,10.1,0.604,0.722,0.103,5,10.4,7.7,6.9,1.6,1.2,11,12.3,1.5,1.4,2.9,0.078,-1.1,0.1,-1,0.5,14924167,9.6,4.4,1.5,0.8,0.5,0.8,5146264.5,Veteran - Below Avg,3.73,5241081.587
ALEX SARR,19,WAS,C,67,67,1814,12.9,0.482,0.412,0.199,7.1,17.9,12.5,13.9,1.2,5,11.2,23.5,-1.6,1.3,-0.3,-0.007,-2.2,-1,-3.3,-0.6,11245680,11.9,6.3,2.3,0.7,1.7,1.6,N/A,Rising - Below Avg,5.2,N/A
KYRIE IRVING,32,DAL,SG,50,50,1804,19.9,0.594,0.38,0.226,3.7,10.6,7.2,20.5,1.8,1.1,9.7,27.4,3.4,1.3,4.6,0.124,3.9,-0.5,3.4,2.5,41000000,24.3,4.6,4.9,1.2,0.4,2.3,8913043.5,Veteran - Above Avg,10.92,25640623.14
KYSHAWN GEORGE,21,WAS,SG,68,38,1802,8.8,0.503,0.648,0.17,2.8,13.7,8.2,13.3,1.8,2.5,14.2,15.9,-0.9,1.1,0.1,0.003,-3.8,-0.3,-4.1,-0.9,2825520,7.2,4,2.2,0.7,0.7,1.1,28255200,Rising - Below Avg,3.83,2491620.503
CAMERON JOHNSON,28,BRK,PF,57,57,1800,18.2,0.632,0.546,0.301,3.3,12.8,7.8,18.5,1.5,1.4,10.5,22.9,3.8,1.3,5.1,0.137,3.5,-0.4,3.1,2.3,22500000,19.5,4.3,3,0.9,0.4,1.7,4411764.7,Peak - Above Avg,5.66,5471125.653
DUNCAN ROBINSON,30,MIA,SF,74,37,1785,11.8,0.595,0.729,0.08,1.1,9.1,5.2,14.7,1.1,0.3,11.1,19.2,1.3,1.4,2.7,0.071,-0.7,-1.1,-1.7,0.1,19406000,11.2,2.4,2.6,0.5,0.1,0.9,7187407.4,Veteran - Below Avg,4.565,10390713.58
KRIS DUNN,30,LAC,PG,74,58,1783,11.3,0.531,0.513,0.05,3.4,12.4,8,15.6,3.5,1.5,14.2,12.7,0.8,3.2,4,0.108,-2.8,3.4,0.6,1.2,5168000,7,3.5,2.9,1.7,0.3,1.2,1292000,Veteran - Above Avg,4.155,-8187979.88
SCOOT HENDERSON,20,POR,PG,66,10,1759,12.5,0.54,0.434,0.301,3.1,9.2,6.1,28.1,1.9,0.7,18.6,22.5,0.4,1.4,1.8,0.049,-1.4,-0.8,-2.2,-0.1,10259160,11.3,2.8,5.2,1.2,0.3,2.7,5699533.3,Rising - Below Avg,6.295,4248969.054
WENDELL CARTER JR.,25,ORL,C,68,51,1758,13.7,0.544,0.322,0.356,9.4,23.4,16,11.5,1.5,2.2,11.9,16,1.6,3,4.6,0.125,-2.2,0.9,-1.2,0.3,11950000,7.6,7.3,2.1,0.7,0.7,0.8,2597826.1,Rising - Above Avg,4.39,-3409376.862
COLLIN SEXTON,26,UTA,SG,63,61,1758,16.6,0.593,0.313,0.29,3.7,6.8,5.2,25.1,1.3,0.3,14.1,27,2.5,-0.1,2.4,0.066,1.7,-2.3,-0.6,0.6,18350000,17.7,2.7,3.8,0.8,0.1,2.6,7645833.3,Peak - Below Avg,7.955,10336412.07
MIKE CONLEY,37,MIN,PG,71,64,1756,13.3,0.573,0.662,0.192,2.1,9.3,5.7,24.5,2.2,0.7,12.9,14.4,3,2.2,5.2,0.142,-0.1,1.3,1.2,1.4,9975962,8.2,2.7,4.4,1.4,0.2,1.2,1918454.2,Veteran - Above Avg,4.96,-7386811.844
AMIR COFFEY,27,LAC,SG,72,13,1748,11.2,0.614,0.484,0.253,2.1,8.2,5.2,6.1,1.1,0.4,7.4,15.3,2.4,1.7,4,0.111,-1.5,-0.2,-1.7,0.1,3938271,10.5,2.6,1.2,0.5,0.1,0.8,984567.8,Peak - Above Avg,4.455,-9417708.88
JIMMY BUTLER,35,TOT,SF,55,55,1746,22.4,0.626,0.174,0.657,7.7,10.8,9.2,25.5,2.2,1,8.8,20.8,6.6,2,8.7,0.238,4,1,4.9,3,48798677,17.6,5.5,4.7,1.2,0.4,1.2,5609043.3,Veteran - Above Avg,7.815,19749420.76
AARON WIGGINS,26,OKC,SG,76,26,1744,16.1,0.596,0.466,0.122,5.1,12.9,9.1,10.6,1.7,1,8.3,20.3,2.7,2.7,5.4,0.148,1.3,-0.2,1.1,1.4,10514017,9.2,3.3,1.4,0.9,0.3,0.8,1947040.2,Peak - Above Avg,4.22,-7516555.838
WALKER KESSLER,23,UTA,C,58,58,1740,20,0.66,0.081,0.363,16.6,27.1,21.9,8.3,1,7.4,15,13.7,3.6,1.8,5.4,0.149,1.1,0.7,1.8,1.7,2965920,10.2,10.9,1.8,0.5,2.7,1.5,549244.4,Rising - Above Avg,6.74,-15064652.84
DE'ANDRE HUNTER,27,TOT,SF,64,9,1740,15.9,0.623,0.509,0.333,2.7,13.4,8.1,7.5,1.4,0.7,8.6,22.8,3,1.4,4.4,0.122,1.2,-0.8,0.4,1,21696429,19.9,4,1.4,0.9,0.1,1.3,4931006.6,Peak - Above Avg,7.395,7004851.132
OCHAI AGBAJI,24,TOR,SG,64,45,1739,12,0.601,0.474,0.09,3.7,11.4,7.5,7.9,1.6,1.6,8.9,14.6,1.6,1.5,3.1,0.087,-0.9,0.2,-0.7,0.5,4310280,11.2,3.9,1.8,0.8,0.5,0.9,1390412.9,Rising - Above Avg,5.1,-6040604.407
BRANDIN PODZIEMSKI,21,GSW,SG,64,33,1716,14.4,0.557,0.491,0.151,4,16.8,10.2,18.7,2,0.7,10.1,18.3,1.9,2.3,4.2,0.117,-0.1,0.8,0.7,1.2,3519960,8,4.5,3.2,1,0.2,1,838085.7,Rising - Above Avg,4.57,-10503818.87
JABARI SMITH JR.,21,HOU,PF,57,39,1716,12.6,0.562,0.489,0.223,6.4,18.6,12.4,4.7,0.7,2.1,8.9,16.4,1.9,2.2,4.2,0.117,-0.8,0.1,-0.7,0.6,9770880,11.9,6.5,1,0.4,1,0.9,2326400,Rising - Above Avg,5.015,-4252898.874
ANTHONY DAVIS,31,TOT,C,51,51,1706,26.3,0.588,0.136,0.405,9.1,29.1,19.4,18.3,1.7,6,9.5,30.4,3.7,3,6.7,0.188,3.9,1.5,5.4,3.2,43219440,25.8,11.8,3.6,1.3,2.1,2.3,6450662.7,Veteran - Above Avg,10.115,20848173.7
BRADLEY BEAL,31,PHO,SG,53,38,1702,15.2,0.598,0.38,0.197,2.3,9.1,5.8,17.6,1.7,1.5,11.6,22.1,1.9,0.6,2.4,0.068,-0.1,-1,-1.1,0.4,50203930,18.2,3.7,3.1,1.2,0.7,2.2,20918304.2,Veteran - Below Avg,8.065,42190342.07
GEORGES NIANG,31,TOT,PF,79,3,1697,11.2,0.607,0.66,0.094,3.1,14.3,8.7,8.8,0.8,0.8,11.3,17.9,1.5,1.4,2.9,0.081,-1.1,-1.2,-2.3,-0.1,8500000,8.6,3.9,1.5,0.4,0.1,1,2931034.5,Veteran - Below Avg,3.175,-1183085.413
JAKOB POELTL,29,TOR,C,57,56,1686,20,0.641,0.005,0.249,11.7,23.3,17.4,14.5,1.9,4,14.7,18.7,3,2.5,5.5,0.158,0.7,1.3,2,1.7,19500000,15.4,10.7,2.6,1.2,1.3,2.1,3545454.5,Peak - Above Avg,7.395,1135527.665
SCOTTY PIPPEN JR.,24,MEM,PG,79,21,1683,15.8,0.582,0.369,0.288,4.1,12.1,8.1,27.1,2.8,1.6,17.1,19.3,2.4,2.3,4.7,0.133,0,1.8,1.9,1.7,2087519,10.7,3.4,5,1.1,0.4,2.2,444153,Rising - Above Avg,6.055,-13605757.36
KEVIN HUERTER,26,TOT,SG,69,31,1679,11.3,0.544,0.647,0.081,2,11.3,6.7,12.6,1.9,1.3,9.7,17.5,0.6,1.3,1.9,0.054,-1.8,-0.2,-2,0,16830357,9,3.5,2,1,0.5,1,8858082.6,Peak - Below Avg,4.4,10486266.56
SANTI ALDAMA,24,MEM,PF,65,16,1660,16.8,0.588,0.503,0.145,6.1,20.3,13.3,15.2,1.5,1.6,9.3,18.5,2.9,2,5,0.144,2.5,0.7,3.2,2.2,3960531,13,7.3,3,0.9,0.5,1.2,792106.2,Rising - Above Avg,5.44,-12734443.85
A.J. GREEN,25,MIL,SG,73,7,1659,9.2,0.621,0.856,0.064,1.2,9.8,5.7,8.5,1.1,0.4,8.4,12.6,1.6,1.3,2.8,0.082,-1.7,-0.4,-2.2,-0.1,2120693,7.7,2.3,1.3,0.5,0.1,0.6,757390.4,Rising - Above Avg,3.48,-7228492.916
AL HORFORD,38,BOS,C,60,42,1659,12.9,0.563,0.681,0.082,5.2,18.9,12.1,10.4,1.1,2.8,8.8,13.8,2,2.4,4.4,0.129,0.1,1.1,1.2,1.3,9500000,8.8,5.3,2.3,0.7,0.9,0.9,2159090.9,Veteran - Above Avg,3.99,-5191577.868
TERRY ROZIER,30,MIA,PG,64,23,1658,10.5,0.497,0.485,0.17,3,12.8,7.9,14.8,1.1,0.8,10.3,20.4,-0.5,1.5,1,0.029,-2.6,-1,-3.7,-0.7,24924126,12.2,4.1,2.9,0.6,0.4,1.5,24924126,Veteran - Below Avg,5.815,21585131.03
PEYTON WATSON,22,DEN,SF,68,18,1656,11.4,0.564,0.318,0.32,3.3,11.8,7.7,7,1.4,5,10.3,13.9,1,1.5,2.5,0.073,-2.1,0.3,-1.8,0.1,2413560,8.7,3.2,1.4,0.8,1,0.8,965424,Rising - Below Avg,3.91,-5933927.425
MOSES MOODY,22,GSW,SG,74,34,1649,12.4,0.578,0.593,0.234,3.3,9.2,6.2,8.3,1.7,1.8,7.9,17.4,1.7,1.8,3.5,0.102,-0.9,0,-0.9,0.5,5803269,8,1.8,0.8,0.4,0.2,0.8,1658076.9,Rising - Above Avg,3.34,-5883213.395
TRISTAN DA SILVA,23,ORL,SF,74,38,1629,9.9,0.522,0.495,0.13,4.9,12.7,8.6,10.3,1,1.1,9.9,15.2,0.5,1.9,2.5,0.073,-2.3,-0.3,-2.6,-0.3,3628440,9,3.7,1.7,0.4,0.2,1,1451376,Rising - Below Avg,4.045,-4719047.425
DONTE DIVINCENZO,28,MIN,SG,62,10,1606,14.1,0.582,0.739,0.106,2.2,13.3,7.9,20.2,2.2,1,13.8,19.4,1.6,2.2,3.9,0.115,0.8,1.1,1.9,1.6,11445000,10,3.4,3.4,1.1,0.2,1.6,2934615.4,Peak - Above Avg,5.25,-1577080.383
ISAIAH JOE,25,OKC,SG,74,16,1604,14,0.617,0.793,0.095,2.8,10.1,6.6,9.7,1.4,0.6,5.8,17.2,2.9,2.2,5.1,0.153,1.4,-0.1,1.3,1.4,12991650,8.2,2.6,1.3,0.8,0.2,0.4,2547382.4,Rising - Above Avg,3.745,-4037224.347
COREY KISPERT,25,WAS,SF,61,0,1602,11,0.584,0.584,0.156,2.3,9.5,5.9,9.7,0.8,0.8,9.6,17.5,1,0.1,1.1,0.032,-1.4,-2.2,-3.7,-0.7,5705887,11.3,3.1,1.6,0.5,0.2,1.1,5187170,Rising - Below Avg,4.58,2032992.533
CARIS LEVERT,30,TOT,SG,64,3,1596,15.2,0.582,0.474,0.259,2.8,11,6.9,18.1,1.7,1.9,10.2,19.4,2.4,1.6,4,0.119,0.8,0.1,0.9,1.2,16615384,11.8,2.7,3.7,1,0.5,1.3,4153846,Veteran - Above Avg,5.895,3259404.12
MILES MCBRIDE,24,NYK,SG,64,10,1593,12.6,0.531,0.57,0.117,3.4,8.1,5.8,15.6,2.1,1,6.7,16.8,1.8,1.4,3.2,0.098,-0.4,0.4,0,0.8,4710144,9.8,2.6,3,0.9,0.2,0.9,1471920,Rising - Above Avg,4.92,-5974639.904
ISAIAH HARTENSTEIN,26,OKC,C,57,53,1590,18.9,0.599,0.04,0.244,11.2,29.6,20.6,18.3,1.4,3.9,15.3,16.7,3.2,3.6,6.8,0.205,0.6,2.6,3.2,2.1,30000000,12.2,12.3,4.1,0.8,1.3,1.8,4411764.7,Peak - Above Avg,7.255,7294834.204
GRADEY DICK,21,TOR,SG,54,54,1587,10.9,0.543,0.504,0.24,2.9,10.3,6.5,8.9,1.5,0.6,10.4,21,0.2,1.2,1.4,0.042,-1.9,-1.3,-3.2,-0.5,4763760,17.4,3.6,2.1,1,0.2,1.8,3402685.7,Rising - Below Avg,7.385,89167.04192
PAOLO BANCHERO,22,ORL,PF,46,46,1582,20,0.551,0.299,0.423,3.5,22.4,12.5,26,1.1,1.7,11.2,33.6,1.1,2.4,3.5,0.106,3.4,0.2,3.5,2.2,12160800,29,8.8,5.6,0.6,0.8,2.2,3474514.3,Rising - Above Avg,9.21,474317.6048
PATRICK WILLIAMS,23,CHI,PF,63,36,1576,9,0.512,0.527,0.161,2.9,12.7,7.9,10.3,1.4,1.8,13.5,16.9,-0.9,1.3,0.4,0.012,-3,-0.7,-3.7,-0.7,18000000,10.2,4.3,2.2,0.9,0.5,1.5,45000000,Rising - Below Avg,3.83,16664402.01
OBI TOPPIN,26,IND,PF,79,4,1545,17.4,0.642,0.503,0.19,4.1,18.7,11.5,11.9,1.4,1.6,9.5,20.1,2.7,1.6,4.3,0.135,1.8,-0.1,1.7,1.4,12975000,10.3,4.1,1.7,0.8,0.4,0.7,3017441.9,Peak - Above Avg,3.735,-1382678.371
GRAYSON ALLEN,29,PHO,SG,64,7,1544,13.7,0.631,0.716,0.233,2.5,11.3,7,12.5,1.7,1.2,12.2,17.6,2,0.6,2.5,0.079,0.7,-1,-0.3,0.7,15625000,10.4,3.2,1.8,0.9,0.3,1,6250000,Peak - Below Avg,4.77,7277512.575
SAM HAUSER,27,BOS,PF,71,19,1541,12.8,0.632,0.842,0.023,3.1,12.7,7.9,5.8,1.3,0.8,4.6,14.3,2.6,1.8,4.4,0.136,0.9,-0.1,0.8,1.1,2092344,7.9,3.1,1.1,0.8,0.2,0.3,475532.7,Peak - Above Avg,2.845,-12599233.87
ZIAIRE WILLIAMS,23,BRK,SF,63,45,1541,11.9,0.55,0.581,0.237,4.3,17.5,10.6,8.5,2,1.8,10.5,18.2,0.5,1.6,2.1,0.065,-2.2,-0.1,-2.3,-0.1,6133005,8.6,4.5,1.1,0.9,0.4,0.9,2920478.6,Rising - Below Avg,4.1,-878884.4371
GABE VINCENT,28,LAL,PG,72,11,1527,7.4,0.536,0.736,0.05,1.5,5.2,3.4,8.7,1.6,0.8,8.7,13.5,0.3,1,1.3,0.039,-3.8,-0.1,-4,-0.8,11000000,4.3,1.3,0.9,0.8,0.2,0.6,8461538.5,Peak - Below Avg,2.11,6659306.539
VICTOR WEMBANYAMA,21,SAS,C,46,46,1527,24.2,0.594,0.47,0.221,5.7,29.8,17.7,18.3,1.6,10.4,13.7,30.4,1,2.8,3.8,0.118,3.6,2.9,6.5,3.3,12768960,25.9,10.3,3.9,1,3.9,3.6,3360252.6,Rising - Above Avg,10.105,80779.11377
JERAMI GRANT,30,POR,PF,47,47,1524,10.9,0.523,0.516,0.289,1.8,10,5.8,9.5,1.3,2.7,9.1,19.4,0.6,1.2,1.8,0.057,-1.4,-0.3,-1.6,0.1,29793104,15,3.6,2.3,0.9,1,1.4,16551724.4,Veteran - Below Avg,4.695,23782913.05
KYLE FILIPOWSKI,21,UTA,C,72,27,1522,14.9,0.594,0.425,0.276,8,23.1,15.6,13.9,1.5,1.4,14.9,18.7,1.5,1,2.5,0.078,-0.6,-0.3,-1,0.4,3000000,5.9,4.3,1.8,0.5,0.1,1,1200000,Rising - Below Avg,2.79,-5347487.425
JA MORANT,25,MEM,PG,50,50,1519,19.3,0.563,0.321,0.359,2.4,11.8,7.1,36,1.9,0.7,15.2,32.2,2,1.5,3.5,0.112,3.1,-0.7,2.4,1.7,36725670,21.2,4.4,7.9,1.1,0.4,3.8,10493048.6,Rising - Above Avg,10.845,25039187.6
MATAS BUZELIS,20,CHI,SF,80,31,1511,12.5,0.571,0.479,0.195,3.9,15.2,9.6,7.2,0.9,4.3,10.9,18.7,0.5,1.4,1.9,0.06,-2,-0.5,-2.5,-0.2,5195520,5.1,2.7,0.5,0.3,0.8,0.6,2734484.2,Rising - Below Avg,2.43,-1148570.443
LAMELO BALL,23,CHO,PG,47,47,1505,19.1,0.536,0.526,0.228,3.3,13.4,8.2,43.8,1.8,0.8,13.1,35.9,0.9,1.1,2,0.065,4.1,-0.9,3.2,2,35147000,30.1,5.3,7.4,1.3,0.2,4.1,17573500,Rising - Below Avg,13.915,28469010.06
DALTON KNECHT,23,LAL,SF,78,16,1494,12.7,0.594,0.61,0.151,2.9,13.1,8.1,6.5,0.8,0.5,5.9,18.5,1.7,1,2.7,0.086,-0.1,-1.7,-1.8,0.1,3819120,10,3.4,1.1,0.4,0.1,0.6,1414488.9,Rising - Above Avg,4.14,-5196166.419
KEVIN PORTER JR.,24,TOT,SG,75,4,1482,15.4,0.531,0.271,0.259,3.2,17.3,10.4,25.9,2.7,0.9,15.8,25.4,-0.1,2.3,2.2,0.072,-1.6,0.9,-0.6,0.5,3366937,9.6,3.6,3.1,0.9,0.3,2.2,1530425.9,Rising - Below Avg,4.985,-3978851.934
D'ANGELO RUSSELL,28,TOT,PG,58,36,1480,14,0.522,0.564,0.227,1.5,11,6.2,31.2,1.9,1.5,13.3,24,0.7,1.3,1.9,0.063,0,-0.4,-0.4,0.6,18692307,12.6,2.7,5,0.8,0.2,1.7,9838056.3,Peak - Below Avg,6.59,12348216.56
LAURI MARKKANEN,27,UTA,PF,47,47,1476,15.6,0.571,0.57,0.264,5.3,14.9,10.1,7.5,1.1,1.1,7.8,24,1.8,0.3,2.2,0.07,1.8,-2.1,-0.3,0.7,42176400,19.5,6.4,1.9,0.8,0.3,1.5,19171090.9,Peak - Below Avg,6.35,34830611.07
LUKE KENNARD,28,MEM,SG,65,11,1472,13.6,0.631,0.606,0.132,2.7,10.4,6.6,18.5,1.6,0.3,13.6,14.5,2.6,1.3,3.9,0.127,0.9,0.2,1.1,1.2,9250000,8.4,2.9,3.2,0.7,0.1,0.9,2371794.9,Peak - Above Avg,4.49,-3772080.383
