Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary_USD,PTS,TRB,AST,STL,BLK,TOV,Cost_Per_WS,Performance_Trajectory,PNS,Salary_Gap
RUDY GOBERT,32,MIN,C,72,72,2388,18.3,0.687,0,0.535,12.5,23.8,18.2,7.5,1.2,4.1,12.4,13,6.1,4,10.1,0.204,0.6,1.3,1.9,2.4,43827586,10.3,10.5,1.7,0.7,1.4,1.5,4339365,Veteran - Above Avg,6.26,10103736.8
TOBIAS HARRIS,32,DET,PF,73,73,2305,13.9,0.571,0.328,0.206,3.1,17.5,10.4,9.8,1.5,2.4,8.8,17.6,2.3,2.9,5.2,0.108,-0.5,0.6,0.1,1.2,25365854,13.2,6.5,2.3,0.8,0.9,1.1,4878048.8,Veteran - Above Avg,5.305,8003080.156
DARIUS GARLAND,25,CLE,PG,75,75,2301,19.9,0.6,0.451,0.217,2.3,7.6,5,32.2,1.9,0.4,12.8,27.2,5.8,2.3,8.1,0.169,3.9,-0.8,3.1,3,36725670,20.4,2.6,6.8,1.2,0.2,2.3,4534033.3,Rising - Above Avg,10.02,9679810.743
JALEN BRUNSON,28,NYK,PG,65,65,2301,21.6,0.605,0.331,0.373,1.4,7.9,4.7,32.3,1.3,0.3,10.5,29.5,6.8,1.4,8.3,0.172,4.7,-1.3,3.3,3.1,24960001,25.1,3,7.7,0.8,0.1,2.4,3007229,Peak - Above Avg,11.94,-2753657.251
JARRETT ALLEN,26,CLE,C,82,82,2296,22.1,0.724,0.008,0.433,10.5,26.7,18.8,9.5,1.6,2.9,11.3,15.9,7.6,4,11.6,0.243,3,1.2,4.2,3.6,20000000,13.6,10.1,1.8,1,0.9,1.1,1724137.9,Peak - Above Avg,6.675,-18732341.65
CHRIS PAUL,39,SAS,PG,82,82,2292,14.7,0.58,0.636,0.158,1.5,12.3,6.9,34.8,2.2,0.9,17.1,14,4.2,1.6,5.7,0.12,0.3,0.5,0.8,1.6,10460000,9.4,4.4,8.4,1.5,0.2,1.7,1835087.7,Veteran - Above Avg,6.97,-8572271.329
ANFERNEE SIMONS,25,POR,SG,70,70,2292,14.9,0.557,0.527,0.172,1.2,8,4.5,23.3,1.3,0.2,10.6,24.6,2.9,1.2,4.2,0.087,1.5,-1.5,-0.1,1.1,25892857,17.7,2.7,4.9,1,0.1,2.4,6164966,Rising - Above Avg,8.38,11869078.13
GIANNIS ANTETOKOUNMPO,30,MIL,PF,67,67,2289,30.5,0.625,0.048,0.536,7.3,29.7,19,36,1.2,3.2,11.2,35.2,7.8,3.7,11.5,0.241,6.9,2.5,9.5,6.6,48787676,32.4,11.7,6,0.8,1.5,3.3,4242406.6,Veteran - Above Avg,11.145,10389233.84
MALIK BEASLEY,28,DET,SG,82,18,2283,14.4,0.59,0.715,0.131,2.3,8,5.2,8.9,1.5,0.2,6.8,22.5,2.9,1.8,4.7,0.1,2,-1.2,0.8,1.6,6000000,16.1,3.1,1.9,0.8,0.1,1.1,1276595.7,Peak - Below Avg,6.77,-9693276.359
KENTAVIOUS CALDWELL-POPE,31,ORL,SG,77,77,2279,9.9,0.574,0.607,0.175,1.6,7.2,4.3,8.7,2.2,1.4,9.6,12.4,1.5,3.1,4.6,0.096,-3,1.6,-1.4,0.3,22757000,9.2,2,2,1.7,0.7,0.8,4947173.9,Veteran - Above Avg,4.46,7397623.138
